Lat,Lon,hour,is_wekend,dbscan_cluster,dbscan2_cluster
40.7044,-73.9866,2,0,0,0
40.7573,-73.9896,6,0,0,0
40.6904,-74.1784,13,1,1,1
40.7325,-73.9853,23,1,0,0
40.7588,-73.9939,15,1,0,0
40.7196,-73.9624,19,1,0,0
40.7532,-73.9812,19,0,0,0
40.7197,-73.9833,17,1,0,0
40.7212,-73.9992,20,0,0,0
40.776,-73.956,11,0,0,0
40.6951,-74.178,11,0,1,1
40.7156,-73.9585,18,0,0,0
40.7432,-73.982,14,0,0,0
40.7307,-73.9929,4,0,0,0
40.7112,-74.0062,19,0,0,0
40.7159,-73.9867,18,0,0,0
40.7592,-73.9726,16,0,0,0
40.7129,-73.9441,16,0,0,0
40.7593,-73.9881,19,0,0,0
40.7156,-74.0113,13,0,0,0
40.7551,-73.9853,17,0,0,0
40.7647,-73.9822,14,0,0,0
40.7504,-73.974,17,0,0,0
40.7482,-74.0053,21,0,0,0
40.8168,-73.4809,21,1,-1,-1
40.7641,-73.9825,20,0,0,0
40.7243,-73.9577,22,1,0,0
40.7606,-73.999,18,0,0,0
40.7363,-73.991,10,0,0,0
40.7304,-73.982,8,0,0,0
40.726,-73.9896,23,0,0,0
40.781,-73.9593,11,0,0,0
40.7729,-73.956,21,1,0,0
40.7342,-74.008,18,0,0,0
40.7421,-73.9932,21,0,0,0
40.7029,-73.9905,13,0,0,0
40.6885,-73.9634,5,0,0,0
40.755,-73.9858,3,0,0,0
40.7628,-73.9783,11,0,0,0
40.7379,-73.9832,13,0,0,0
40.7678,-73.9831,11,0,0,0
40.7259,-73.9925,21,0,0,0
40.7364,-74.007,19,0,0,0
40.7681,-73.9836,7,0,0,0
40.7429,-73.9844,1,0,0,0
40.729,-73.9831,4,0,0,0
40.8033,-73.9693,18,0,0,0
40.7369,-74.0039,11,0,0,0
40.719,-74.0027,0,1,0,0
40.7689,-73.8671,12,1,0,0
40.677,-74.0132,10,0,0,0
40.7731,-73.8857,13,1,0,0
40.708,-74.0145,20,1,0,0
40.7502,-73.9735,15,0,0,0
40.7328,-73.991,0,0,0,0
40.7169,-74.0327,15,0,0,0
40.7195,-73.9903,20,0,0,0
40.6767,-73.9464,3,0,0,0
40.7754,-73.9579,17,1,0,0
40.7814,-73.9803,16,0,0,0
40.795,-73.9762,9,0,0,0
40.735,-73.9974,17,0,0,0
40.7423,-73.9805,19,0,0,0
40.6507,-73.9497,1,1,0,0
40.7453,-74.0086,14,0,0,0
40.757,-73.9713,19,0,0,0
40.753,-73.9892,12,0,0,0
40.7578,-73.9871,20,0,0,0
40.7779,-73.954,16,1,0,0
40.7426,-74.039,17,1,0,0
40.825,-73.9516,14,0,0,0
40.7532,-73.9977,11,0,0,0
40.7436,-73.9904,0,0,0,0
40.7408,-73.9901,16,0,0,0
40.7465,-73.9776,16,0,0,0
40.7376,-74.0039,21,0,0,0
40.7527,-73.9858,12,0,0,0
40.7401,-73.9973,7,0,0,0
40.7249,-73.9805,14,1,0,0
40.7608,-73.9824,22,0,0,0
40.7629,-73.978,23,0,0,0
40.7485,-73.9393,16,0,0,0
40.7367,-74.0054,15,1,0,0
40.7226,-74.0036,17,0,0,0
40.7083,-74.0009,10,0,0,0
40.6791,-74.0071,20,1,0,0
40.7212,-73.9923,11,0,0,0
40.8273,-73.9447,10,0,0,0
40.7531,-73.9741,19,0,0,0
40.7369,-73.9781,16,0,0,0
40.7409,-73.9765,4,0,0,0
40.7346,-73.991,16,0,0,0
40.7278,-73.9915,21,0,0,0
40.7574,-73.9756,17,0,0,0
40.7513,-73.9936,21,1,0,0
40.7251,-73.9948,6,0,0,0
40.7453,-74.0043,10,1,0,0
40.7752,-73.9538,20,1,0,0
40.7386,-74.0019,13,1,0,0
40.7435,-73.9728,17,0,0,0
40.763,-73.9275,19,1,0,0
40.7552,-73.9756,16,0,0,0
40.7497,-74.0027,14,0,0,0
40.6943,-73.9872,4,1,0,0
40.7327,-73.9878,2,1,0,0
40.757,-73.97,12,0,0,0
40.7639,-73.9684,20,1,0,0
40.7444,-74.0028,9,0,0,0
40.7933,-73.9746,4,0,0,0
40.7654,-73.9702,12,0,0,0
40.6935,-74.1854,14,0,1,1
40.7327,-73.9877,18,0,0,0
40.769,-73.8866,18,1,0,0
40.7706,-73.8655,11,0,0,0
40.7468,-73.9965,17,1,0,0
40.6916,-74.1771,12,0,1,1
40.6889,-73.989,9,0,0,0
40.7261,-74.0075,18,0,0,0
40.7497,-73.9916,12,0,0,0
40.7646,-73.9736,17,0,0,0
40.7239,-73.9858,8,0,0,0
40.7859,-73.9783,7,0,0,0
40.7582,-73.9815,13,0,0,0
40.7219,-73.9944,20,0,0,0
40.6487,-73.9607,16,1,0,0
40.7351,-73.9873,16,0,0,0
40.7848,-73.9761,17,0,0,0
40.6587,-73.9785,22,0,0,0
40.6898,-73.953,18,1,0,0
40.7538,-73.9886,16,0,0,0
40.7542,-73.974,16,0,0,0
40.7681,-73.9292,4,1,0,0
40.7667,-73.9869,8,0,0,0
40.7742,-73.8725,11,0,0,0
40.7472,-73.9813,3,0,0,0
40.7333,-73.9915,20,0,0,0
40.7687,-73.9579,12,0,0,0
40.7537,-73.9681,5,0,0,0
40.743,-74.0076,1,1,0,0
40.7437,-73.9838,2,1,0,0
40.7381,-74.0097,3,1,0,0
40.7513,-73.9698,17,0,0,0
